target,finding_index,label,rule_id,file,line,function,matched_text,rationale
aws-documentation,1,FP,MCP10-SHARED-CONTEXT,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\awslabs-mcp\src\aws-documentation-mcp-server\awslabs\aws_documentation_mcp_server\server_aws.py,51,,SESSION_UUID,"The matched object is cache/configuration/process state, not demonstrated cross-user model context."
aws-documentation,2,FP,MCP10-SHARED-CONTEXT,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\awslabs-mcp\src\aws-documentation-mcp-server\awslabs\aws_documentation_mcp_server\server_aws_cn.py,37,,SESSION_UUID,"The matched object is cache/configuration/process state, not demonstrated cross-user model context."
aws-documentation,3,FP,MCP10-SHARED-CONTEXT,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\awslabs-mcp\src\aws-documentation-mcp-server\awslabs\aws_documentation_mcp_server\server_utils.py,128,,SEARCH_RESULT_CACHE,"The matched object is cache/configuration/process state, not demonstrated cross-user model context."
fastmcp-examples,1,Needs context,MCP07-MISSING-AUTH,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\fastmcp\examples\apps\approvals\approvals_server.py,333,,,"A network transport is visible, but this example may be local/demo-only or protected by deployment middleware."
fastmcp-examples,2,Needs context,MCP07-MISSING-AUTH,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\fastmcp\examples\apps\contacts\contacts_server.py,148,,,"A network transport is visible, but this example may be local/demo-only or protected by deployment middleware."
fastmcp-examples,3,Needs context,MCP07-MISSING-AUTH,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\fastmcp\examples\apps\explorer\explorer_server.py,590,,,"A network transport is visible, but this example may be local/demo-only or protected by deployment middleware."
fastmcp-examples,4,Needs context,MCP07-MISSING-AUTH,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\fastmcp\examples\apps\inventory\inventory_server.py,445,,,"A network transport is visible, but this example may be local/demo-only or protected by deployment middleware."
fastmcp-examples,5,Needs context,MCP07-MISSING-AUTH,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\fastmcp\examples\apps\quiz\quiz_server.py,266,,,"A network transport is visible, but this example may be local/demo-only or protected by deployment middleware."
fastmcp-examples,6,FP,MCP10-SHARED-CONTEXT,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\fastmcp\examples\apps\system_monitor\system_monitor_server.py,45,,_history,"The matched object is cache/configuration/process state, not demonstrated cross-user model context."
fastmcp-examples,7,FP,MCP07-MISSING-AUTH,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\fastmcp\examples\auth\auth0_mcp\server.py,39,,,The file is a client or an authentication example; file-local keyword matching loses surrounding auth context.
